50041	68467	56334	76500	69169	65724	61478	79358	76962	74464	55705	78145	73281	66827	59961	50491	52995	61942	54827	55436	82391	64604	53902	50153	50292	62382	67421	68716	69718	69895	55447	71726	64771	61538	51869	69912	75667	76299	67035	59894	78703	73811	81322	80333	67673	54664	65141	57711	78253	56868	
75547	77644	82662	82757	70037	62859	58723	59741	77529	50778	62316	53035	72190	51842	50288	80106	59040	58942	69264	72648	77446	73805	65890	56729	74370	65350	65006	81101	74393	53548	69629	62623	74084	69954	68756	61840	54966	57376	63931	76308	66944	82439	74626	61323	55537	71538	66118	52082	72929	66541	
54833	81115	54639	79658	72704	59930	63977	52306	81673	72386	55021	78745	76924	69072	56270	55829	76777	65573	55097	66512	73986	63290	59161	68636	72355	74767	73655	65574	54031	62052	77350	51150	66941	71724	63966	53430	81107	80191	68007	61337	65457	62287	77753	60383	64945	58909	82209	59758	74221	68588	
56422	74946	77506	63030	66413	79168	50900	82591	68762	51655	67410	56359	77624	70537	71548	56483	77595	54041	53602	74350	60291	80836	59374	61020	54596	74021	77348	73199	69668	74484	58281	54734	50053	51999	76418	77938	56900	53788	68127	50467	53728	64893	74648	72483	67807	52421	64310	56617	72813	59514	
64309	57616	68935	67451	70600	55249	66519	81556	72798	80303	56224	61008	55844	82609	64989	82702	53195	70485	53093	64343	80523	51587	79314	59503	57448	75200	63458	56618	70580	69796	64798	65281	69589	70798	78009	77157	70472	73622	68538	62292	56038	74179	68190	79657	57958	56191	69815	72888	69156	61511	
66202	52634	74272	70055	70328	72646	76362	54886	68875	78433	79869	70142	73844	51416	71881	81998	60322	68651	60021	55699	53557	78476	77892	74389	55075	60712	52600	52510	71003	76869	67861	64688	63401	59789	65255	66423	55002	60585	74182	60285	77088	81426	78617	73757	59832	80932	54169	52154	75721	67189	
69976	81329	52368	78692	71425	60555	53434	66549	57441	59512	80145	68060	71718	53753	66139	62423	66279	75996	66687	62529	72549	67437	69866	62949	50193	73195	53297	70416	78286	66105	74488	66282	62455	75734	68114	61701	81316	70671	55786	62263	54313	74355	81185	70053	50912	60808	51832	70945	54313	77756	
78321	69558	73646	77982	50481	54144	73196	70222	57129	52161	55535	70450	61173	60466	62044	71659	76292	76439	67253	70024	76154	79510	54745	70649	63186	58313	54474	78022	52168	64018	68787	59905	67958	57391	60202	53625	76477	54414	59314	75824	79334	75874	74372	70159	61833	78070	57487	78297	57518	58177	
67773	82270	51763	52668	67192	63985	53102	58480	79213	57627	54802	54099	80527	52625	51543	51924	61023	79972	63061	64181	81003	77432	67505	77593	72725	63031	58492	50142	67222	81286	63064	57900	69187	58360	72413	80974	64270	79170	50235	80833	69711	75760	68896	54667	57285	62550	50140	63694	52695	71624	
78019	52125	76576	71694	72658	76302	67371	72466	54678	72593	73851	75484	51018	78464	71119	73152	52800	68087	81060	51926	59010	54757	82170	70315	59576	80227	62043	72758	57164	55109	57882	67086	79565	53487	79577	64474	52625	75627	55629	81928	75423	78520	56902	64962	50123	74596	53737	63261	60195	82525	
51264	58260	56202	58116	55030	70326	79011	80771	56411	75547	71153	71520	79790	64924	80188	71763	54940	70851	68662	63829	80900	67713	68958	67578	58365	63007	61477	51200	76058	56439	52303	62760	69357	52324	56477	55108	71113	64887	69801	72850	64460	72428	62993	77384	69405	56540	81111	78704	62835	82356	
56072	79350	68823	64485	70556	73216	51626	59357	58526	63357	79337	73271	73869	79361	62896	63022	79617	60112	62717	68696	61585	74041	74423	74129	74229	54565	56559	58932	72296	79855	62053	66962	53584	79734	56654	66972	71457	64369	72532	52963	52607	52483	50911	61635	60067	72848	54675	62938	52223	72142	
73754	56511	72741	70175	71459	67825	53221	67870	51626	81934	65205	81783	73850	67398	72279	72701	62193	62734	51637	76534	55556	51993	60176	75705	56962	60548	65881	50300	64413	66641	69855	74855	63142	61462	77611	80877	70424	82678	51752	68443	78296	62673	60040	59313	50875	70072	62818	50610	51017	64932	
78112	80695	63169	73831	70040	76488	78685	69090	69497	52589	75990	65145	69353	69314	68651	76740	72044	61258	50335	58759	61192	57605	75264	62181	78503	53829	73775	70608	79292	55997	67549	79556	75561	81627	56467	79541	76129	81240	77813	79174	70601	56077	70215	58683	58213	73992	75824	55601	73392	65759	
52670	76428	78027	54084	60075	68786	65498	74970	56287	73847	82604	50503	71221	72663	55706	52363	59010	72171	77489	68240	62164	75542	57619	70913	57591	56704	81818	59232	50750	75205	54975	51539	50303	61422	71098	61247	63584	63648	52971	67864	72913	61075	71545	78712	67546	68678	51769	65262	58519	63985	
78289	65944	52865	68540	73245	75508	78318	77870	59601	78323	71132	74472	77152	75087	78570	79763	79901	67103	64423	53527	61600	76969	64015	55565	50028	71543	75347	52088	52943	62637	72409	76463	55049	54681	51588	61342	50608	82060	71221	51758	79954	70888	64146	50690	57949	62843	71430	75620	50748	77067	
